Type_Attaquant,Type_Defenseur,Damages
Poison,Spectre,0.5
Poison,Dragon,1
Poison,Ténèbres,1
Poison,Acier,0
Poison,Fée,2
Sol,Normal,1
Sol,Feu,2
Sol,Eau,1
Sol,Plante,0.5
Sol,Électrik,2
Sol,Glace,1
Sol,Combat,1
Sol,Poison,2
Sol,Sol,1
Sol,Vol,0
Sol,Psy,1
Sol,Insecte,0.5
Sol,Roche,2
Sol,Spectre,1
Sol,Dragon,1
Sol,Ténèbres,1
Sol,Acier,2
Sol,Fée,1
Vol,Normal,1
Vol,Feu,1
Vol,Eau,1
Vol,Plante,2
Vol,Électrik,0.5
Vol,Glace,1
Vol,Combat,2
Vol,Poison,1
Vol,Sol,1
Vol,Vol,1
Vol,Psy,1
Vol,Insecte,2
Vol,Roche,0.5
Vol,Spectre,1
Vol,Dragon,1
Vol,Ténèbres,1
Vol,Acier,0.5
Vol,Fée,1
Psy,Normal,1
Psy,Feu,1
Psy,Eau,1
Psy,Plante,1
Psy,Électrik,1
Psy,Glace,1
Psy,Combat,2
Psy,Poison,2
Psy,Sol,1
Psy,Vol,1
Psy,Psy,0.5
Psy,Insecte,1
Psy,Roche,1
Psy,Spectre,1
Psy,Dragon,1
Psy,Ténèbres,0
Psy,Acier,0.5
Psy,Fée,1
Insecte,Normal,1
Insecte,Feu,0.5
Insecte,Eau,1
Insecte,Plante,2
Insecte,Électrik,1
Insecte,Glace,1
Insecte,Combat,0.5
Insecte,Poison,0.5
Insecte,Sol,1
Insecte,Vol,0.5
Insecte,Psy,2
Insecte,Insecte,1
Insecte,Roche,1
Insecte,Spectre,0.5
Insecte,Dragon,1
Insecte,Ténèbres,2
Insecte,Acier,0.5
Insecte,Fée,0.5
Roche,Normal,1
Roche,Feu,2
Roche,Eau,1
Roche,Plante,1
Roche,Électrik,1
Roche,Glace,2
Roche,Combat,0.5
Roche,Poison,1
Roche,Sol,0.5
Roche,Vol,2
Roche,Psy,1
Roche,Insecte,2
Roche,Roche,1
Roche,Spectre,1
Roche,Dragon,1
Roche,Ténèbres,1
Roche,Acier,0.5
Roche,Fée,1
Spectre,Normal,0
Spectre,Feu,1
Spectre,Eau,1
Spectre,Plante,1
Spectre,Électrik,1
Spectre,Glace,1
Spectre,Combat,1
Spectre,Poison,1
Spectre,Sol,1
Spectre,Vol,1
Spectre,Psy,2
Spectre,Insecte,1
Spectre,Roche,1
Spectre,Spectre,2
Spectre,Dragon,1
Spectre,Ténèbres,0.5
Spectre,Acier,1
Spectre,Fée,1
Dragon,Normal,1
Dragon,Feu,1
Dragon,Eau,1
Dragon,Plante,1
Dragon,Électrik,1
Dragon,Glace,1
Dragon,Combat,1
Dragon,Poison,1
Dragon,Sol,1
Dragon,Vol,1
Dragon,Psy,1
Dragon,Insecte,1
Dragon,Roche,1
Dragon,Spectre,1
Dragon,Dragon,2
Dragon,Ténèbres,1
Dragon,Acier,0.5
Dragon,Fée,0
Ténèbres,Normal,1
Ténèbres,Feu,1
Ténèbres,Eau,1
Ténèbres,Plante,1
Ténèbres,Électrik,1
Ténèbres,Glace,1
Ténèbres,Combat,0.5
Ténèbres,Poison,1
Ténèbres,Sol,1
Ténèbres,Vol,1
Ténèbres,Psy,2
Ténèbres,Insecte,1
Ténèbres,Roche,1
Ténèbres,Spectre,2
Ténèbres,Dragon,1
Ténèbres,Ténèbres,0.5
Ténèbres,Acier,1
Ténèbres,Fée,0.5
Acier,Normal,1
Acier,Feu,0.5
Acier,Eau,0.5
Acier,Plante,1
Acier,Électrik,0.5
Acier,Glace,2
Acier,Combat,1
Acier,Poison,1
Acier,Sol,1
Acier,Vol,1
Acier,Psy,1
Acier,Insecte,1
Acier,Roche,2
Acier,Spectre,1
Acier,Dragon,1
Acier,Ténèbres,1
Acier,Acier,0.5
Acier,Fée,2
Fée,Normal,1
Fée,Feu,0.5
Fée,Eau,1
Fée,Plante,1
Fée,Électrik,1
Fée,Glace,1
Fée,Combat,2
Fée,Poison,0.5
Fée,Sol,1
Fée,Vol,1
Fée,Psy,1
Fée,Insecte,1
Fée,Roche,1
Fée,Spectre,1
Fée,Dragon,2
Fée,Ténèbres,2
Fée,Acier,0.5
Fée,Fée,1
