
id,Pokémon,Type,Talent,Tier,PV,Atq,Def,Ats,Defs,Vit
23,Abo,Poison,"Intimidation
Mue
Tension",LC,35,60,44,40,54,55
24,Arbok,Poison,"Intimidation
Mue
Tension",ZU,60,95,69,65,79,80
25,Pikachu,Électrik,"Statik
Paratonnerre",ZU,35,55,40,50,50,90
25,Pikachu Gigamax,Électrik,"Statik
Paratonnerre",Untiered,35,55,40,50,50,90
26,Raichu,Électrik,"Statik
Paratonnerre",ZU,60,90,55,90,80,110
26,Raichu d'Alola,"Électrik
Psy",Surf Caudal,ZU,60,85,50,95,85,110
27,Sabelette,Sol,"Voile Sable
Baigne Sable",LC,50,75,85,20,30,40
27,Sabelette d'Alola,"Glace
Acier","Rideau Neige
Chasse-Neige",LC,50,75,90,10,35,40
28,Sablaireau,Sol,"Voile Sable
Baigne Sable",ZU,75,100,110,45,55,65
28,Sablaireau d'Alola,"Glace
Acier","Rideau Neige
Chasse-Neige",PU,75,100,120,25,65,65
29,Nidoran Femelle,Poison,"Point Poison
Rivalité
Agitation",Untiered,55,47,52,40,40,41
30,Nidorina,Poison,"Point Poison
Rivalité
Agitation",Untiered,70,62,67,55,55,56
31,Nidoqueen,"Poison
Sol","Point Poison
Rivalité
Sans Limite",Untiered,90,92,87,75,85,76
32,Nidoran Mâle,Poison,"Point Poison
Rivalité
Agitation",Untiered,46,57,40,40,40,50
33,Nidorino,Poison,"Point Poison
Rivalité
Agitation",Untiered,61,72,57,55,55,65
34,Nidoking,"Poison
Sol","Point Poison
Rivalité
Sans Limite",Untiered,81,102,77,85,75,85
35,Mélofée,Fée,"Joli Sourire
Garde Magik
Garde Amie",NFE,70,45,48,60,65,35
36,Mélodelfe,Fée,"Joli Sourire
Garde Magik
Inconscient",OU,95,70,73,95,90,60
37,Goupix,Feu,"Torche
Sécheresse",NFE,38,41,40,50,65,65
37,Goupix d'Alola,Glace,"Rideau Neige
Alerte Neige",NFE,38,41,40,50,65,65
38,Feunard,Feu,"Torche
Sécheresse",ZU,73,76,75,81,100,100
38,Feunard d'Alola,"Glace
Fée","Rideau Neige
Alerte Neige",NU,73,67,75,81,100,109
39,Rondoudou,"Normal
Fée","Joli Sourire
Battant
Garde Amie",NFE,115,45,20,45,25,20
40,Grodoudou,"Normal
Fée","Joli Sourire
Battant
Fouille",ZU,140,70,45,85,50,45
41,Nosferapti,"Poison
Vol","Attention
Infiltration",Untiered,40,45,35,30,40,55
42,Nosferalto,"Poison
Vol","Attention
Infiltration",Untiered,75,80,70,65,75,90
43,Mystherbe,"Plante
Poison","Chlorophylle
Fuite",LC,45,50,55,75,65,30
44,Ortide,"Plante
Poison","Chlorophylle
Puanteur",NFE,60,65,70,85,75,40
45,Rafflesia,"Plante
Poison","Chlorophylle
Pose Spore",NU,75,80,85,110,90,50
46,Paras,"Insecte
Plante","Pose Spore
Peau Sèche
Moiteur",Untiered,35,70,55,45,55,25
47,Parasect,"Insecte
Plante","Pose Spore
Peau Sèche
Moiteur",Untiered,60,95,80,60,80,30
48,Mimitoss,"Insecte
Poison","Oeil Composé
Lentiteintée
Fuite",LC,60,55,50,40,55,45
49,Aéromite,"Insecte
Poison","Écran Poudre
Lentiteintée
Peau Miracle",(PU),70,65,60,90,75,90
50,Taupiqueur,Sol,"Voile Sable
Piège Sable
Force Sable",NFE,10,55,25,35,45,95
50,Taupiqueur d'Alola,"Sol
Acier","Voile Sable
Mèche Rebelle
Force Sable",LC,10,55,30,35,45,90
51,Triopikeur,Sol,"Voile Sable
Piège Sable
Force Sable",ZU,35,100,50,50,70,120
51,Triopikeur d'Alola,"Sol
Acier","Voile Sable
Mèche Rebelle
Force Sable",ZU,35,100,60,50,70,110
52,Miaouss,Normal,"Ramassage
Technicien
Tension",LC,40,45,35,40,40,90
52,Miaouss d'Alola,Ténèbres,"Ramassage
Technicien
Phobique",LC,40,35,35,50,40,90
52,Miaouss de Galar,Acier,"Ramassage
Griffe Dure
Tension",LC,50,65,55,40,40,40
52,Miaouss Gigamax,Normal,"Ramassage
Technicien
Tension",Untiered,40,45,35,40,40,90
53,Persian,Normal,"Échauffement
Technicien
Tension",ZU,65,70,60,65,65,115
53,Persian d'Alola,Ténèbres,"Toison Épaisse
Technicien
Phobique",ZU,65,60,60,75,65,115
54,Psykokwak,Eau,"Moiteur
Ciel Gris
Glissade",LC,50,52,48,65,50,55
55,Akwakwak,Eau,"Moiteur
Ciel Gris
Glissade",ZU,80,82,78,95,80,85
56,Férosinge,Combat,"Esprit Vital
Colérique
Acharné",LC,40,80,35,35,45,70
57,Colossinge,Combat,"Esprit Vital
Colérique
Acharné",ZU,65,105,60,60,70,95
58,Caninos,Feu,"Intimidation
Torche
Coeur Noble",LC,55,70,45,70,50,60
58,Caninos de Hisui,"Feu
Roche","Intimidation
Torche
Tête de Roc",LC,60,75,45,65,50,55
59,Arcanin,Feu,"Intimidation
Torche
Coeur Noble",PU,90,110,80,100,80,95
59,Arcanin de Hisui,"Feu
Roche","Intimidation
Torche
Tête de Roc",UU,95,115,80,95,80,90
60,Ptitard,Eau,"Absorb Eau
Moiteur
Glissade",LC,40,50,40,40,40,90
61,Têtarte,Eau,"Absorb Eau
Moiteur
Glissade",NFE,65,65,65,50,50,90
62,Tartard,"Eau
Combat","Absorb Eau
Moiteur
Glissade",ZU,90,95,95,70,90,70
63,Abra,Psy,"Synchro
Attention
Garde Magik",Untiered,25,20,15,105,55,90
64,Kadabra,Psy,"Synchro
Attention
Garde Magik",Untiered,40,35,30,120,70,105
65,Alakazam,Psy,"Synchro
Attention
Garde Magik",Untiered,55,50,45,135,95,120
65,Méga Alakazam,Psy,Calque,Untiered,55,50,65,175,105,150
66,Machoc,Combat,"Cran
Annule Garde
Impassible",Untiered,70,80,50,35,35,35
67,Machopeur,Combat,"Cran
Annule Garde
Impassible",Untiered,80,100,70,50,60,45
68,Mackogneur,Combat,"Cran
Annule Garde
Impassible",Untiered,90,130,80,65,85,55
68,Mackogneur Gigamax,Combat,"Cran
Annule Garde
Impassible",Untiered,90,130,80,65,85,55
69,Chétiflor,"Plante
Poison","Chlorophylle
Gloutonnerie",LC,50,75,35,70,30,40
70,Boustiflor,"Plante
Poison","Chlorophylle
Gloutonnerie",NFE,65,90,50,85,45,55
71,Empiflor,"Plante
Poison","Chlorophylle
Gloutonnerie",ZU,80,105,65,100,70,70
72,Tentacool,"Eau
Poison","Corps Sain
Suintement
Cuvette",LC,40,40,35,50,100,70
73,Tentacruel,"Eau
Poison","Corps Sain
Suintement
Cuvette",NU,80,70,65,80,120,100
74,Racaillou,"Roche
Sol","Tête de Roc
Fermeté
Voile Sable",LC,40,80,100,30,30,20
74,Racaillou d'Alola,"Roche
Électrik","Magnépiège
Fermeté
Peau Électrique",LC,40,80,100,30,30,20
75,Gravalanch,"Roche
Sol","Tête de Roc
Fermeté
Voile Sable",NFE,55,95,115,45,45,35
75,Gravalanch d'Alola,"Roche
Électrik","Magnépiège
Fermeté
Peau Électrique",NFE,55,95,115,45,45,35
76,Grolem,"Roche
Sol","Tête de Roc
Fermeté
Voile Sable",ZU,80,120,130,55,65,45
76,Grolem d'Alola,"Roche
Électrik","Magnépiège
Fermeté
Peau Électrique",ZU,80,120,130,55,65,45
77,Ponyta,Feu,"Fuite
Torche
Corps Ardent",Untiered,50,85,55,65,65,90
77,Ponyta de Galar,Psy,"Fuite
Voile Pastel
Anticipation",Untiered,50,85,55,65,65,90
78,Galopa,Feu,"Fuite
Torche
Corps Ardent",Untiered,65,100,70,80,80,105
78,Galopa de Galar,"Psy
Fée","Fuite
Voile Pastel
Anticipation",Untiered,65,100,70,80,80,105
79,Ramoloss,"Eau
Psy","Benêt
Tempo Perso
Régé-Force",LC,90,65,65,40,40,15
79,Ramoloss de Galar,Psy,"Gloutonnerie
Tempo Perso
Régé-Force",LC,90,65,65,40,40,15
80,Flagadoss,"Eau
Psy","Benêt
Tempo Perso
Régé-Force",RU,95,75,110,100,80,30
80,Flagadoss de Galar,"Poison
Psy","Tir Vif
Tempo Perso
Régé-Force",PU,95,100,95,100,70,30
80,Méga Flagadoss,"Eau
Psy",Coque Armure,Untiered,95,75,180,130,80,30
81,Magnéti,"Électrik
Acier","Magnépiège
Fermeté
Analyste",LC,25,35,70,95,55,45
82,Magnéton,"Électrik
Acier","Magnépiège
Fermeté
Analyste",ZU,50,60,95,120,70,70
83,Canarticho,"Normal
Vol","Regard Vif
Attention
Acharné",Untiered,52,90,55,58,62,60
83,Canarticho de Galar,Combat,"Impassible
Querelleur",Untiered,52,95,55,58,62,55
84,Doduo,"Normal
Vol","Fuite
Matinal
Pieds Confus",LC,35,85,45,35,35,75
85,Dodrio,"Normal
Vol","Fuite
Matinal
Pieds Confus",ZU,60,110,70,60,60,110
86,Otaria,Eau,"Isograisse
Hydratation
Corps Gel",LC,65,45,55,45,70,45
87,Lamantine,"Eau
Glace","Isograisse
Hydratation
Corps Gel",ZU,90,70,80,70,95,70
88,Tadmorv,Poison,"Puanteur
Glue
Toxitouche",LC,80,80,50,40,50,25
88,Tadmorv d'Alola,"Poison
Ténèbres","Toxitouche
Gloutonnerie
Osmose",LC,80,80,50,40,50,25
89,Grotadmorv,Poison,"Puanteur
Glue
Toxitouche",ZU,105,105,75,65,100,50
89,Grotadmorv d'Alola,"Poison
Ténèbres","Toxitouche
Gloutonnerie
Osmose",RU,105,105,75,65,100,50
90,Kokiyas,Eau,"Coque Armure
Multi-Coups
Envelocape",LC,30,65,100,45,25,40
91,Crustabri,"Eau
Glace","Coque Armure
Multi-Coups
Envelocape",NUBL,50,95,180,85,45,70
92,Fantominus,"Spectre
Poison",Lévitation,NFE,30,35,30,100,35,80
93,Spectrum,"Spectre
Poison",Lévitation,NFE,45,50,45,115,55,95
94,Ectoplasma,"Spectre
Poison",Corps Maudit,RU,60,65,60,130,75,110
94,Méga Ectoplasma,"Spectre
Poison",Marque Ombre,Untiered,60,65,80,170,95,130
94,Ectoplasma Gigamax,"Spectre
Poison",Corps Maudit,Untiered,60,65,60,130,75,110
95,Onix,"Roche
Sol","Tête de Roc
Fermeté
Armurouillée",Untiered,35,45,160,30,45,70
96,Soporifik,Psy,"Insomnia
Prédiction
Attention",LC,60,48,45,43,90,42
97,Hypnomade,Psy,"Insomnia
Prédiction
Attention",ZU,85,73,70,73,115,67
98,Krabby,Eau,"Hyper Cutter
Coque Armure
Sans Limite",Untiered,30,105,90,25,25,50
99,Krabboss,Eau,"Hyper Cutter
Coque Armure
Sans Limite",Untiered,55,130,115,50,50,75
99,Krabboss Gigamax,Eau,"Hyper Cutter
Coque Armure
Sans Limite",Untiered,55,130,115,50,50,75
100,Voltorbe,Électrik,"Anti-Bruit
Statik
Boom Final",LC,40,30,50,55,55,100
100,Voltorbe de Hisui,"Électrik
Plante","Anti-Bruit
Statik
Boom Final",NFE,40,30,50,55,55,100
101,Électrode,Électrik,"Anti-Bruit
Statik
Boom Final",ZU,60,50,70,80,80,150
101,Électrode de Hisui,"Électrik
Plante","Anti-Bruit
Statik
Boom Final",(PU),60,50,70,80,80,150
102,Noeunoeuf,"Plante
Psy","Chlorophylle
Récolte",LC,60,40,80,60,45,40
103,Noadkoko,"Plante
Psy","Chlorophylle
Récolte",ZU,95,95,85,125,75,55
103,Noadkoko d'Alola,"Plante
Dragon","Fouille
Récolte",ZU,95,105,85,125,75,45
104,Osselait,Sol,"Tête de Roc
Paratonnerre
Armurbaston",Untiered,50,50,95,40,50,35
105,Ossatueur,Sol,"Tête de Roc
Paratonnerre
Armurbaston",Untiered,60,80,110,50,80,45
105,Ossatueur d'Alola,"Feu
Spectre","Corps Maudit
Paratonnerre
Tête de Roc",Untiered,60,80,110,50,80,45
106,Kicklee,Combat,"Échauffement
Téméraire
Délestage",PU,50,120,53,35,110,87
107,Tygnon,Combat,"Regard Vif
Poing de Fer
Attention",ZU,50,105,79,35,110,76
108,Excelangue,Normal,"Tempo Perso
Benêt
Ciel Gris",Untiered,90,55,75,60,75,30
109,Smogo,Poison,"Lévitation
Gaz Inhibiteur
Puanteur",LC,40,65,95,60,45,35
110,Smogogo,Poison,"Lévitation
Gaz Inhibiteur
Puanteur",ZU,65,90,120,85,70,60
110,Smogogo de Galar,"Poison
Fée","Lévitation
Gaz Inhibiteur
Créa-Brume",OU,65,90,120,85,70,60
111,Rhinocorne,"Sol
Roche","Paratonnerre
Tête de Roc
Téméraire",LC,80,85,95,30,30,25
112,Rhinoféros,"Sol
Roche","Paratonnerre
Tête de Roc
Téméraire",PU,105,130,120,45,45,40
113,Leveinard,Normal,"Médic Nature
Sérénité
Coeur Soin",RU,250,5,5,35,105,50
114,Saquedeneu,Plante,"Chlorophylle
Feuille Garde
Régé-Force",Untiered,65,55,115,100,40,60
115,Kangourex,Normal,"Matinal
Querelleur
Attention",Untiered,105,95,80,40,80,90
115,Méga Kangourex,Normal,Amour Filial,Untiered,105,125,100,60,100,100
116,Hypotrempe,Eau,"Glissade
Sniper
Moiteur",LC,30,40,70,70,25,60
117,Hypocéan,Eau,"Point Poison
Sniper
Moiteur",NFE,55,65,95,95,45,85
118,Poissirène,Eau,"Glissade
Ignifu-Voile
Paratonnerre",Untiered,45,67,60,35,50,63
119,Poissoroy,Eau,"Glissade
Ignifu-Voile
Paratonnerre",Untiered,80,92,65,65,80,68
120,Stari,Eau,"Lumiattirance
Médic Nature
Analyste",Untiered,30,45,55,70,55,85
121,Staross,"Eau
Psy","Lumiattirance
Médic Nature
Analyste",Untiered,60,75,85,100,85,115
122,M. Mime,"Psy
Fée","Anti-Bruit
Filtre
Technicien",Untiered,40,45,65,100,120,90
122,M. Mime de Galar,"Glace
Psy","Esprit Vital
Brise-Barrière
Corps Gel",Untiered,50,65,65,90,90,100
123,Insécateur,"Insecte
Vol","Essaim
Technicien
Impassible",NU,70,110,80,55,80,105
124,Lippoutou,"Glace
Psy","Benêt
Prédiction
Peau Sèche",Untiered,65,50,35,115,95,95
125,Élektek,Électrik,"Statik
Esprit Vital",NFE,65,83,57,95,85,105
126,Magmar,Feu,"Corps Ardent
Esprit Vital",NFE,65,95,57,100,85,93
127,Scarabrute,Insecte,"Hyper Cutter
Brise Moule
Impudence",Untiered,65,125,100,55,70,85
127,Méga Scarabrute,"Insecte
Vol",Peau Céleste,Untiered,65,155,120,65,90,105
128,Tauros,Normal,"Intimidation
Colérique
Sans Limite",ZU,75,100,95,40,70,110
128,Tauros de Paldea Race Combative,Combat,"Intimidation
Colérique
Ruminant",ZU,75,110,105,30,70,100
128,Tauros de Paldea Race Flamboyante,"Combat
Feu","Intimidation
Colérique
Ruminant",PU,75,110,105,30,70,100
128,Tauros de Paldea Race Aquatique,"Combat
Eau","Intimidation
Colérique
Ruminant",NU,75,110,105,30,70,100
129,Magicarpe,Eau,"Glissade
Phobique",LC,20,10,55,15,20,80
130,Léviator,"Eau
Vol","Intimidation
Impudence",RU,95,125,79,60,100,81
130,Méga Léviator,"Eau
Ténèbres",Brise Moule,Untiered,95,155,109,70,130,81
131,Lokhlass,"Eau
Glace","Absorb Eau
Coque Armure
Hydratation",ZU,130,85,80,85,95,60
131,Lokhlass Gigamax,"Eau
Glace","Absorb Eau
Coque Armure
Hydratation",Untiered,130,85,80,85,95,60
132,Métamorph,Normal,"Échauffement
Imposteur",ZU,48,48,48,48,48,48
133,Évoli,Normal,"Fuite
Adaptabilité
Anticipation",LC,55,55,50,45,65,55
133,Évoli Gigamax,Normal,"Fuite
Adaptabilité
Anticipation",Untiered,55,55,50,45,65,55
134,Aquali,Eau,"Absorb Eau
Hydratation",NU,130,65,60,110,95,65
135,Voltali,Électrik,"Absorb Volt
Pied Véloce",ZU,65,65,60,110,95,130
136,Pyroli,Feu,"Torche
Cran",ZU,65,130,60,95,110,65
137,Porygon,Normal,"Calque
Télécharge
Analyste",NFE,65,60,70,85,75,40
138,Amonita,"Roche
Eau","Glissade
Coque Armure
Armurouillée",Untiered,35,40,100,90,55,35
139,Amonistar,"Roche
Eau","Glissade
Coque Armure
Armurouillée",Untiered,70,60,125,115,70,55
140,Kabuto,"Roche
Eau","Glissade
Armurbaston
Armurouillée",Untiered,30,80,90,55,45,55
141,Kabutops,"Roche
Eau","Glissade
Armurbaston
Armurouillée",Untiered,60,115,105,65,70,80
142,Ptéra,"Roche
Vol","Tête de Roc
Pression
Tension",Untiered,80,105,65,60,75,130
142,Méga Ptéra,"Roche
Vol",Griffe Dure,Untiered,80,135,85,70,95,150
143,Ronflex,Normal,"Vaccin
Isograisse
Gloutonnerie",ZU,160,110,65,65,110,30
143,Ronflex Gigamax,Normal,"Vaccin
Isograisse
Gloutonnerie",Untiered,160,110,65,65,110,30
144,Artikodin,"Glace
Vol","Pression
Rideau Neige",ZU,90,85,100,95,125,85
144,Artikodin de Galar,"Psy
Vol",Battant,PU,90,85,85,125,100,95
145,Électhor,"Électrik
Vol","Pression
Statik",OU,90,90,85,125,90,100
145,Électhor de Galar,"Combat
Vol",Acharné,RU,90,125,90,85,90,100
146,Sulfura,"Feu
Vol","Pression
Corps Ardent",OU,90,100,90,125,85,90
146,Sulfura de Galar,"Ténèbres
Vol",Folle Furie,UUBL,90,85,90,100,125,90
147,Minidraco,Dragon,"Mue
Écaille Spéciale",LC,41,64,45,50,50,50
148,Draco,Dragon,"Mue
Écaille Spéciale",NFE,61,84,65,70,70,70
149,Dracolosse,"Dragon
Vol","Attention
Multiécaille",OU,91,134,95,100,100,80
150,Mewtwo,Psy,"Pression
Tension",Uber,106,110,90,154,90,130
150,Méga Mewtwo Y,Psy,Insomnia,Untiered,106,150,70,194,120,140
150,Méga Mewtwo X,"Psy
Combat",Impassible,Untiered,106,190,100,154,100,130
151,Mew,Psy,Synchro,RU,100,100,100,100,100,100
152,Germignon,Plante,"Engrais
Feuille Garde",LC,45,49,65,49,65,45
153,Macronium,Plante,"Engrais
Feuille Garde",NFE,60,62,80,63,80,60
154,Méganium,Plante,"Engrais
Feuille Garde",ZU,80,82,100,83,100,80
155,Héricendre,Feu,"Brasier
Torche",LC,39,52,43,60,50,65
156,Feurisson,Feu,"Brasier
Torche",NFE,58,64,58,80,65,80
157,Typhlosion,Feu,"Brasier
Torche",ZU,78,84,78,109,85,100
157,Typhlosion de Hisui,"Feu
Spectre","Brasier
Fouille",PU,73,84,78,119,85,95
158,Kaiminus,Eau,"Torrent
Sans Limite",LC,50,65,64,44,48,43
159,Crocrodil,Eau,"Torrent
Sans Limite",NFE,65,80,80,59,63,58
160,Aligatueur,Eau,"Torrent
Sans Limite",NUBL,85,105,100,79,83,78
161,Fouinette,Normal,"Fuite
Regard Vif
Fouille",LC,35,46,34,35,45,20
162,Fouinar,Normal,"Fuite
Regard Vif
Fouille",ZU,85,76,64,45,55,90
163,Hoothoot,"Normal
Vol","Insomnia
Regard Vif
Lentiteintée",LC,60,30,30,36,56,50
164,Noarfang,"Normal
Vol","Insomnia
Regard Vif
Lentiteintée",ZU,100,50,50,86,96,70
165,Coxy,"Insecte
Vol","Essaim
Matinal
Phobique",Untiered,40,20,30,40,80,55
166,Coxyclaque,"Insecte
Vol","Essaim
Matinal
Poing de Fer",Untiered,55,35,50,55,110,85
167,Mimigal,"Insecte
Poison","Essaim
Insomnia
Sniper",LC,40,60,40,40,40,30
168,Migalos,"Insecte
Poison","Essaim
Insomnia
Sniper",ZU,70,90,70,60,70,40
169,Nostenfer,"Poison
Vol","Attention
Infiltration",Untiered,85,90,80,70,80,130
170,Loupio,"Eau
Électrik","Absorb Volt
Lumiattirance
Absorb Eau",LC,75,38,38,56,56,67
171,Lanturn,"Eau
Électrik","Absorb Volt
Lumiattirance
Absorb Eau",ZU,125,58,58,76,76,67
172,Pichu,Électrik,"Statik
Paratonnerre",LC,20,40,15,35,35,60
173,Mélo,Fée,"Joli Sourire
Garde Magik
Garde Amie",LC,50,25,28,45,55,15
174,Toudoudou,"Normal
Fée","Joli Sourire
Battant
Garde Amie",LC,90,30,15,40,20,15
175,Togepi,Fée,"Agitation
Sérénité
Chanceux",Untiered,35,20,65,40,65,20
176,Togetic,"Fée
Vol","Agitation
Sérénité
Chanceux",Untiered,55,40,85,80,105,40
177,Natu,"Psy
Vol","Synchro
Matinal
Miroir Magik",Untiered,40,50,45,70,45,70
178,Xatu,"Psy
Vol","Synchro
Matinal
Miroir Magik",Untiered,65,75,70,95,70,95
179,Wattouat,Électrik,"Statik
Plus",LC,55,40,40,65,45,35
180,Lainergie,Électrik,"Statik
Plus",NFE,70,55,55,80,60,45
181,Pharamp,Électrik,"Statik
Plus",ZU,90,75,85,115,90,55
181,Méga Pharamp,"Électrik
Dragon",Brise Moule,Untiered,90,95,105,165,110,45
182,Joliflor,Plante,"Chlorophylle
Coeur Soin",(PU),75,80,95,90,100,50
183,Marill,"Eau
Fée","Isograisse
Coloforce
Herbivore",NFE,70,20,50,20,50,40
184,Azumarill,"Eau
Fée","Isograisse
Coloforce
Herbivore",UU,100,50,80,60,80,50
185,Simularbre,Roche,"Fermeté
Tête de Roc
Phobique",ZU,70,100,115,30,65,30
186,Tarpaud,Eau,"Absorb Eau
Moiteur
Crachin",NUBL,90,75,75,90,100,70
187,Granivol,"Plante
Vol","Chlorophylle
Feuille Garde
Infiltration",LC,35,35,40,35,55,50
188,Floravol,"Plante
Vol","Chlorophylle
Feuille Garde
Infiltration",NFE,55,45,50,45,65,80
189,Cotovol,"Plante
Vol","Chlorophylle
Feuille Garde
Infiltration",ZU,75,55,70,55,95,110
190,Capumain,Normal,"Fuite
Ramassage
Multi-Coups",NFE,55,70,55,40,55,85
191,Tournegrin,Plante,"Chlorophylle
Force Soleil
Matinal",LC,30,30,30,30,30,30
192,Héliatronc,Plante,"Chlorophylle
Force Soleil
Matinal",ZU,75,75,55,105,85,30
193,Yanma,"Insecte
Vol","Turbo
Oeil Composé
Fouille",NFE,65,65,45,75,45,95
194,Axoloto,"Eau
Sol","Moiteur
Absorb Eau
Inconscient",LC,55,45,45,25,25,15
194,Axoloto de Paldea,"Poison
Sol","Point Poison
Absorb Eau
Inconscient",LC,55,45,45,25,25,15
195,Maraiste,"Eau
Sol","Moiteur
Absorb Eau
Inconscient",RU,95,85,85,65,65,35
196,Mentali,Psy,"Synchro
Miroir Magik",PU,65,65,60,130,95,110
197,Noctali,Ténèbres,"Synchro
Attention",RU,95,65,110,60,130,65
198,Cornèbre,"Ténèbres
Vol","Insomnia
Chanceux
Farceur",NFE,60,85,42,85,42,91
199,Roigada,"Eau
Psy","Benêt
Tempo Perso
Régé-Force",UU,95,75,80,100,110,30
199,Roigada de Galar,"Poison
Psy","Breuvage Suspect
Tempo Perso
Régé-Force",OU,95,65,80,110,110,30
200,Feuforêve,Spectre,Lévitation,NFE,60,60,60,85,85,85
201,Zarbi A,Psy,Lévitation,Untiered,48,72,48,72,48,48
202,Qulbutoké,Psy,"Marque Ombre
Télépathe",Untiered,190,33,58,33,58,33
203,Girafarig,"Normal
Psy","Attention
Matinal
Herbivore",NFE,70,80,65,90,65,85
204,Pomdepik,Insecte,"Fermeté
Envelocape",LC,50,65,90,35,35,15
205,Foretress,"Insecte
Acier","Fermeté
Envelocape",RU,75,90,140,60,60,40
206,Insolourdo,Normal,"Sérénité
Fuite
Phobique",NFE,100,70,70,65,65,45
207,Scorplane,"Sol
Vol","Hyper Cutter
Voile Sable
Vaccin",NU,65,75,105,35,65,85
208,Steelix,"Acier
Sol","Tête de Roc
Fermeté
Sans Limite",Untiered,75,85,200,55,65,30
208,Méga Steelix,"Acier
Sol",Force Sable,Untiered,75,125,230,55,95,30
209,Snubbull,Fée,"Intimidation
Fuite
Phobique",LC,60,80,50,40,40,30
210,Granbull,Fée,"Intimidation
Pied Véloce
Phobique",ZU,90,120,75,60,60,45
211,Qwilfish,"Eau
Poison","Point Poison
Glissade
Intimidation",PU,65,95,85,55,55,85
211,Qwilfish de Hisui,"Ténèbres
Poison","Point Poison
Glissade
Intimidation",PU,65,95,85,55,55,85
212,Cizayox,"Insecte
Acier","Essaim
Technicien
Light Metal",OU,70,130,100,55,80,65
212,Méga Cizayox,"Insecte
Acier",Technicien,Untiered,70,150,140,65,100,75
213,Caratroc,"Insecte
Roche","Fermeté
Gloutonnerie
Contestation",Untiered,20,10,230,10,230,5
214,Scarhino,"Insecte
Combat","Essaim
Cran
Impudence",NU,80,125,75,40,95,85
214,Méga Scarhino,"Insecte
Combat",Multi-Coups,Untiered,80,185,115,40,105,75
215,Farfuret,"Ténèbres
Glace","Attention
Regard Vif
Pickpocket",NFE,55,95,55,35,75,115
